date,open,high,low,close,volume,amount,adj_factor,vwap,turnover,mkt_cap,earnings,revenue,total_assets,op_cash_flow,total_equity,instrument
2023-01-03,13.2,13.85,13.05,13.77,219412794.0,2971546989.0,69.939165,13.543180116470328,1.130670496252104,267219493586.46,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-04,13.71,14.42,13.63,14.32,218968252.99999997,3110729449.0,69.939165,14.206303454409898,1.1283797027942053,277892748595.36,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-05,14.4,14.74,14.37,14.48,166542518.0,2417272356.0,69.939165,14.514445830583636,0.8582212005109189,280997695507.04,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-06,14.5,14.72,14.48,14.62,119574471.0,1747915169.0,69.939165,14.617795540989682,0.6161870691307673,283714524054.76,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-09,14.75,14.88,14.52,14.8,105765911.00000001,1561368487.0,69.939165,14.762492680652084,0.5450292706127514,287207589330.4,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-10,14.76,14.89,14.39,14.44,126942338.99999999,1851093717.0,69.939165,14.582161724623651,0.6541549141958093,280221458779.12,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-11,14.45,14.78,14.39,14.67,83056612.0,1217450812.0,69.939165,14.658084199244728,0.42800448868564356,284684819964.66,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-12,14.77,14.77,14.53,14.67,62569484.0,914367700.0,69.939165,14.613636577217099,0.32243092225751463,284684819964.66,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-13,14.67,14.95,14.55,14.95,94908583.0,1407181074.0,69.939165,14.8266998570614,0.48907965977222817,290118477060.1,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-16,14.95,15.28,14.85,15.08,156003989.0,2356399993.0,69.939165,15.104741924259386,0.8039144137599276,292641246425.84,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-17,15.13,15.18,14.77,14.97,93583454.0,1396151515.0,69.939165,14.918785910594837,0.48225105038845606,290506595424.06,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-18,14.95,15.18,14.91,15.11,71843403.0,1083362998.0,69.939165,15.079505601927014,0.3702209640630614,293223423971.77997,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-19,15.13,15.25,14.87,15.09,64187519.99999999,963744633.0,69.939165,15.01451735477551,0.3307689299630897,292835305607.82,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-20,15.16,15.24,15.0,15.13,60859007.99999999,920144806.0,69.939165,15.119286959130193,0.31361655590954624,293611542335.74,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-30,15.6,15.74,14.89,15.15,137431750.0,2096867649.0,69.939165,15.257519816199677,0.7082085877512461,293999660699.7,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-01-31,15.24,15.51,14.96,14.99,103049784.0,1568639326.0,69.939165,15.222150548127301,0.5310326179700903,290894713788.02,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-01,15.03,15.08,14.51,14.7,165342148.0,2426471973.0,69.939165,14.67545935716282,0.8520354949335762,285266997510.6,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-02,14.74,14.78,14.27,14.6,157790039.0,2280744883.0,69.939165,14.454302042475572,0.8131182254566651,283326405690.8,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-03,14.45,14.55,14.16,14.32,124638298.0,1782105891.0,69.939165,14.298220688154776,0.6422818090164678,277892748595.36,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-06,14.1,14.13,13.86,14.0,131761010.00000001,1838428709.0,69.939165,13.952752100185023,0.6789863245776745,271682854772.0,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-07,14.06,14.32,14.03,14.21,86946046.0,1235297763.0,69.939165,14.207635882602412,0.4480473867808194,275758097593.58,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-08,14.24,14.32,14.03,14.04,65789256.99999999,928708934.0,69.939165,14.116422290648458,0.33902294622002394,272459091499.91998,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-09,14.01,14.3,13.96,14.13,83035002.0,1174361963.0,69.939165,14.142975067309566,0.4278931287736778,274205624137.74002,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-10,14.1,14.12,13.86,13.98,84728366.0,1184283386.0,69.939165,13.977413254965875,0.4366193141492464,271294736408.04,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-13,13.94,13.94,13.6,13.82,180005416.0,2473405203.0,69.939165,13.740726573471544,0.9275977454477262,268189789496.36002,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-14,13.85,13.98,13.8,13.96,90993709.0,1263892078.0,69.939165,13.889884167706583,0.46890566514024484,270906618044.08002,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-15,13.95,13.96,13.62,13.67,125024398.0,1713566673.0,69.939165,13.705858219769233,0.6442714463144776,265278901766.66,0.0,0.0,0.0,0.0,0.0,000001.SZ
2023-02-16,13.68,13.91,13.5,13.6,127912329.0,1757431084.0,69.939165,13.739340826168524,0.6591534334465126,263920487492.8,0.0,0.0,0.0,0.0,0.0,000001.SZ
